Date and Time,Description,Reference No.,Debit,Credit,Balance
2/2/2025 15:58,STARTING BALANCE,,,426.82,426.82
2/2/2025 15:59,Transfer from My_Number to Others_Number,3.02531E+12,200,,226.82
2/4/2025 10:21,"Received GCash from BDO Unibank, Inc. with account ending in 4748",,,1000,1226.82
2/4/2025 10:21,Payment to MLBB,608366147,94.05,,1132.77
2/4/2025 10:22,Payment to MLBB,401590918,94.05,,1038.72
2/4/2025 10:23,Payment to MLBB,608372300,94.05,,944.67
2/8/2025 16:12,Payment to MLBB,511517677,94.05,,850.62
2/8/2025 16:14,Payment to MLBB,10021748,94.05,,756.57
2/8/2025 16:14,Payment to MLBB,412424740,94.05,,662.52
2/11/2025 10:37,Payment to Smart GigaLife,217048226,99,,563.52
2/15/2025 16:50,Payment to MLBB,27889572,94.05,,469.47
2/15/2025 16:51,Payment to MLBB,827005213,94.05,,375.42
2/15/2025 16:51,Payment to MLBB,529388617,94.05,,281.37
2/15/2025 17:26,Transfer from Others_Number to My_Number,3.02577E+12,,300,581.37
2/15/2025 17:34,Payment to MLBB,228205675,473.1,,108.27
2/16/2025 15:48,"Payment to SPOTIFY AB, Merchant Transaction Number: P341A201B4",329710212,75,,33.27
2/19/2025 14:34,"Received GCash from BDO Unibank, Inc. with account ending in 4748",,,1500,1533.27
2/19/2025 14:35,Payment to MLBB,440410111,473.1,,1060.17
2/19/2025 15:03,Payment to MLBB,337307493,47.45,,1012.72
2/19/2025 18:44,Transfer from My_Number to Others_Number,3.02591E+12,1000,,12.72
2/21/2025 11:47,"Received GCash from BDO Unibank, Inc. with account ending in 4748",,,250,262.72
2/21/2025 11:48,Transfer from Others_Number to My_Number,1.02596E+12,,125,387.72
2/21/2025 11:49,Transfer from Others_Number to My_Number,1.02596E+12,,5,392.72
2/21/2025 12:12,Transfer from Others_Number to My_Number,7.02596E+12,,50,442.72
2/28/2025 14:54,Payment to Lapakgaming PH,463841838,216,,226.72
3/5/2025 13:27,Buy Load Transaction for My_Number,374676985,61,,165.72
3/10/2025 14:18,"Received GCash from BDO Unibank, Inc. with account ending in 4748",,,26600,26765.72
3/10/2025 14:19,Payment to National University,699683985,26523.6,,242.12
3/11/2025 13:24,Transfer from My_Number to Others_Number,3.0266E+12,100,,142.12
3/16/2025 15:48,"Payment to SPOTIFY AB, Merchant Transaction Number: P34F938E34",304744317,75,,67.12
3/17/2025 18:14,"Received GCash from BDO Unibank, Inc. with account ending in 4748",,,4000,4067.12
3/17/2025 18:15,Transfer from My_Number to Others_Number,3.02683E+12,3800,,267.12
3/20/2025 12:58,Payment to Smart GigaLife,15759590,99,,168.12
3/24/2025 15:05,"Received GCash from BDO Unibank, Inc. with account ending in 4748",,,200,368.12
