Description,Debit,YearMonth,Year,Month,Day,DayOfWeek,DayName,Weekend,Category_code,Category_buy_load,Category_food_delivery_payment,Category_game_payment,Category_online_shopping_payment,Category_outgoing_transfer,Category_school_fee_payment,Category_spotify_subscription_payment
Transfer from My_Number to Others_Number,200.0,2025-02,2025,2,2,6,Sunday,1,5,0,0,0,0,1,0,0
Payment to MLBB,94.05,2025-02,2025,2,4,1,Tuesday,0,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-02,2025,2,4,1,Tuesday,0,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-02,2025,2,4,1,Tuesday,0,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-02,2025,2,8,5,Saturday,1,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-02,2025,2,8,5,Saturday,1,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-02,2025,2,8,5,Saturday,1,3,0,0,1,0,0,0,0
Payment to Smart GigaLife,99.0,2025-02,2025,2,11,1,Tuesday,0,1,1,0,0,0,0,0,0
Payment to MLBB,94.05,2025-02,2025,2,15,5,Saturday,1,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-02,2025,2,15,5,Saturday,1,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-02,2025,2,15,5,Saturday,1,3,0,0,1,0,0,0,0
Payment to MLBB,473.1,2025-02,2025,2,15,5,Saturday,1,3,0,0,1,0,0,0,0
"Payment to SPOTIFY AB, Merchant Transaction Number: P341A201B4",75.0,2025-02,2025,2,16,6,Sunday,1,7,0,0,0,0,0,0,1
Payment to MLBB,473.1,2025-02,2025,2,19,2,Wednesday,0,3,0,0,1,0,0,0,0
Payment to MLBB,47.45,2025-02,2025,2,19,2,Wednesday,0,3,0,0,1,0,0,0,0
Transfer from My_Number to Others_Number,1000.0,2025-02,2025,2,19,2,Wednesday,0,5,0,0,0,0,1,0,0
Payment to Lapakgaming PH,216.0,2025-02,2025,2,28,4,Friday,0,3,0,0,1,0,0,0,0
Buy Load Transaction for My_Number,61.0,2025-03,2025,3,5,2,Wednesday,0,1,1,0,0,0,0,0,0
Payment to National University,26523.6,2025-03,2025,3,10,0,Monday,0,6,0,0,0,0,0,1,0
Transfer from My_Number to Others_Number,100.0,2025-03,2025,3,11,1,Tuesday,0,5,0,0,0,0,1,0,0
"Payment to SPOTIFY AB, Merchant Transaction Number: P34F938E34",75.0,2025-03,2025,3,16,6,Sunday,1,7,0,0,0,0,0,0,1
Transfer from My_Number to Others_Number,3800.0,2025-03,2025,3,17,0,Monday,0,5,0,0,0,0,1,0,0
Payment to Smart GigaLife,99.0,2025-03,2025,3,20,3,Thursday,0,1,1,0,0,0,0,0,0
Payment to Honkai Impact 3,280.0,2025-03,2025,3,24,0,Monday,0,3,0,0,1,0,0,0,0
Transfer from My_Number to Others_Number,3800.0,2025-03,2025,3,29,5,Saturday,1,5,0,0,0,0,1,0,0
"Payment to Apple services, Merchant Transaction Number: MN40LSTXXTa0",49.0,2025-04,2025,4,1,1,Tuesday,0,0,0,0,0,0,0,0,0
Payment to Smart GigaLife,99.0,2025-04,2025,4,7,0,Monday,0,1,1,0,0,0,0,0,0
Payment to Steam,419.95,2025-04,2025,4,8,1,Tuesday,0,3,0,0,1,0,0,0,0
Payment to Smart GigaLife,199.0,2025-04,2025,4,14,0,Monday,0,1,1,0,0,0,0,0,0
"Payment to SPOTIFY AB, Merchant Transaction Number: P35E6F79FB",75.0,2025-04,2025,4,16,2,Wednesday,0,7,0,0,0,0,0,0,1
Transfer from My_Number to Others_Number,100.0,2025-04,2025,4,27,6,Sunday,1,5,0,0,0,0,1,0,0
Payment to MLBB,94.05,2025-05,2025,5,2,4,Friday,0,3,0,0,1,0,0,0,0
Payment to Xsolla,269.0,2025-05,2025,5,2,4,Friday,0,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-05,2025,5,9,4,Friday,0,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-05,2025,5,9,4,Friday,0,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-05,2025,5,9,4,Friday,0,3,0,0,1,0,0,0,0
Transfer from My_Number to Others_Number,180.0,2025-05,2025,5,15,3,Thursday,0,5,0,0,0,0,1,0,0
Transfer from My_Number to Others_Number,200.0,2025-05,2025,5,16,4,Friday,0,5,0,0,0,0,1,0,0
"Payment to SPOTIFY AB, Merchant Transaction Number: P36D5C6403",75.0,2025-05,2025,5,16,4,Friday,0,7,0,0,0,0,0,0,1
Payment to MLBB,94.05,2025-05,2025,5,23,4,Friday,0,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-05,2025,5,23,4,Friday,0,3,0,0,1,0,0,0,0
Payment to MLBB,94.05,2025-05,2025,5,23,4,Friday,0,3,0,0,1,0,0,0,0
Payment to MLBB,233.7,2025-05,2025,5,23,4,Friday,0,3,0,0,1,0,0,0,0
Buy Load Transaction for My_Number,61.0,2025-05,2025,5,24,5,Saturday,1,1,1,0,0,0,0,0,0
Transfer from My_Number to Others_Number,3800.0,2025-05,2025,5,26,0,Monday,0,5,0,0,0,0,1,0,0
Transfer from My_Number to Others_Number,30.0,2025-05,2025,5,26,0,Monday,0,5,0,0,0,0,1,0,0
Transfer from My_Number to Others_Number,300.0,2025-05,2025,5,27,1,Tuesday,0,5,0,0,0,0,1,0,0
Transfer from My_Number to Others_Number,500.0,2025-05,2025,5,27,1,Tuesday,0,5,0,0,0,0,1,0,0
Buy Load Transaction for My_Number,61.0,2025-05,2025,5,29,3,Thursday,0,1,1,0,0,0,0,0,0
Payment to Smart GigaLife,199.0,2025-06,2025,6,2,0,Monday,0,1,1,0,0,0,0,0,0
Payment to Xsolla,269.0,2025-06,2025,6,10,1,Tuesday,0,3,0,0,1,0,0,0,0
Payment to KURO GAMES,846.99,2025-06,2025,6,13,4,Friday,0,3,0,0,1,0,0,0,0
Payment to Bancnet P2M Send,99.0,2025-06,2025,6,16,0,Monday,0,6,0,0,0,0,0,1,0
Payment to Bancnet P2M Send,226.0,2025-06,2025,6,16,0,Monday,0,6,0,0,0,0,0,1,0
"Payment to SPOTIFY AB, Merchant Transaction Number: P37BA488FA",75.0,2025-06,2025,6,16,0,Monday,0,7,0,0,0,0,0,0,1
Buy Load Transaction for My_Number,102.0,2025-06,2025,6,21,5,Saturday,1,1,1,0,0,0,0,0,0
Buy Load Transaction for Others_Number,22.0,2025-06,2025,6,23,0,Monday,0,1,1,0,0,0,0,0,0
Payment to Lapakgaming PH,217.18,2025-07,2025,7,5,5,Saturday,1,3,0,0,1,0,0,0,0
Payment to Xsolla,269.0,2025-07,2025,7,8,1,Tuesday,0,3,0,0,1,0,0,0,0
Transfer from My_Number to Others_Number,2000.0,2025-07,2025,7,10,3,Thursday,0,5,0,0,0,0,1,0,0
Payment to COGNOSPHERE PTE. LTD,799.0,2025-07,2025,7,11,4,Friday,0,3,0,0,1,0,0,0,0
Payment to Bancnet P2M Send,24039.6,2025-07,2025,7,11,4,Friday,0,6,0,0,0,0,0,1,0
Payment to Xsolla,269.0,2025-07,2025,7,14,0,Monday,0,3,0,0,1,0,0,0,0
Transfer from My_Number to Others_Number,3800.0,2025-07,2025,7,14,0,Monday,0,5,0,0,0,0,1,0,0
"Payment to SPOTIFY AB, Merchant Transaction Number: P38A06CF0C",75.0,2025-07,2025,7,16,2,Wednesday,0,7,0,0,0,0,0,0,1
Transfer from My_Number to Others_Number,300.0,2025-07,2025,7,21,0,Monday,0,5,0,0,0,0,1,0,0
Transfer from My_Number to Others_Number,150.0,2025-07,2025,7,27,6,Sunday,1,5,0,0,0,0,1,0,0
Transfer from My_Number to Others_Number,260.0,2025-07,2025,7,27,6,Sunday,1,5,0,0,0,0,1,0,0
Transfer from My_Number to Others_Number,130.0,2025-07,2025,7,27,6,Sunday,1,5,0,0,0,0,1,0,0
